Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,High Value,240.5483589001639,300.0075675302556,74.68476650922942,74.09365838801534,No
Treatment,High Value,246.8621142097213,381.3375545299784,100.0,100.0,Yes
Control,High Value,156.97808447859475,179.33046351143602,98.78073492771195,100.0,No
Control,Medium Value,192.12670834101246,229.2780311449778,49.33376568403194,39.81184102884268,Yes
Control,High Value,229.6856225311863,270.1677012638315,83.9748522426319,87.73859146013874,Yes
Treatment,Low Value,135.5730030724036,218.55998793624312,58.075341560288535,69.40491770418247,No
Control,High Value,191.71391751322253,222.4093562953567,89.96782704218455,85.12097519074193,Yes
Control,Low Value,173.75255497726224,213.16823191693922,66.98471067566065,67.88155831219294,No
Control,High Value,208.308577206674,248.1788297406119,95.36666991061821,84.79029369447808,Yes
Treatment,High Value,235.07149317447795,352.7568720796089,72.91985145581212,70.75322510464026,No
Control,Low Value,139.93153925886617,170.23839621775963,59.844765580197226,51.81905056104477,Yes
Control,High Value,270.91832579072417,333.0649723842069,74.38393900776379,67.94240255950163,No
Control,High Value,211.8349368284123,254.84391219852026,80.5312465052219,87.60154444766816,Yes
Control,High Value,217.77601332639472,259.9896243956994,100.0,100.0,Yes
Treatment,Medium Value,173.18344545034157,284.9242994285349,81.94912049151024,90.32045388762796,No
Control,Low Value,188.33896253003337,232.58248579885083,53.45882198158094,63.46722449883956,Yes
Treatment,High Value,306.7014523489638,485.13542449547947,77.43166164966323,78.36128221143248,Yes
Treatment,Low Value,164.63631906370986,242.3219339433057,50.557336938790826,63.47724520875917,No
Treatment,Low Value,151.73386907837792,231.61542790862327,51.64879271063811,55.75124054138325,Yes
Control,Low Value,136.6363152824632,162.7193515233652,50.29607851025652,46.96473643066456,Yes
Treatment,High Value,225.16316493897875,355.21045108537476,100.0,95.0543168863689,No
Control,High Value,215.2826142380435,264.2998632701579,83.27203259267907,100.0,Yes
Treatment,Low Value,182.99078495831026,277.8915659929541,51.35488357781548,64.40241350614076,No
Treatment,Medium Value,216.75212622867403,342.64310388488025,67.39580915941461,68.3351414504752,Yes
Treatment,Low Value,193.36515170745048,293.18381183311226,57.82708352005616,62.87584818573787,No
Treatment,Medium Value,199.89748271827628,317.38843608779985,74.92718784301869,75.3286737855186,No
Treatment,Low Value,263.204145090912,402.56531687741244,56.311385031555204,45.33645803118631,Yes
Treatment,Low Value,213.2222876593125,341.42815568860397,45.39979304129021,46.476301061537825,No
Treatment,Low Value,128.76663156266886,202.57829702148177,54.96175660876392,42.65810995393944,No
Treatment,High Value,134.01751025099622,205.54084330614774,97.10610345098438,86.28785873002904,Yes
Control,Medium Value,162.78694724515825,197.09426722586286,64.7819587552199,71.75744553562056,Yes
Control,Medium Value,217.4402380681039,256.7950582762058,72.49876467053772,86.00480082099843,No
Treatment,Low Value,145.40486887836266,226.85275814043686,59.25262599419791,53.19109377464451,No
Treatment,High Value,90.52779766681475,132.2872220994811,39.42157094419601,100.0,No
Treatment,High Value,226.6438578746983,355.98445877614364,79.27226735930505,82.81404894768461,No
Control,Medium Value,177.4821281977439,211.29715345658323,69.5147959034782,71.9205270776693,No
Treatment,High Value,109.26682181557986,168.45127804602708,99.2326999638281,100.0,Yes
Control,Medium Value,203.84622026439388,243.76688891966612,39.331423545549555,53.9961252447941,Yes
Control,Medium Value,236.35063890703398,278.0196705945648,70.28976369379372,73.61401738447641,Yes
Control,Medium Value,137.45922448516086,177.55423718004795,63.37454975175391,83.77448967190342,No
Control,High Value,228.00301061787013,272.05945118539375,92.3620757628306,97.4507076564161,Yes
Control,Medium Value,145.79843046677243,181.54578351094614,68.48512943366842,62.93528171517984,Yes
Treatment,Medium Value,169.77587981968645,255.35526684846096,79.39828892769745,100.0,Yes
Treatment,Low Value,201.25688279349623,297.58834328219245,57.379031453232905,76.0,No
Treatment,Medium Value,233.9696098676108,366.8286060317677,67.70828315395103,78.12757290654804,Yes
Treatment,Medium Value,236.59590321255428,377.3724478859154,62.02675645464887,40.837547414507235,No
Treatment,Low Value,189.73368579006942,304.50564654293925,55.388745543518716,62.803462297539454,No
Control,Low Value,242.91874795191544,296.499552341025,50.37416819400255,48.25828768493502,No
Treatment,High Value,189.29619107042203,293.1901572789537,86.76226901400382,100.0,Yes
Treatment,Medium Value,172.71326744224285,273.78660871897773,56.017663263958305,62.982449193203884,Yes
Control,High Value,80.1069864120375,91.62472506180588,87.64806924930599,86.61383959426388,Yes
Treatment,High Value,213.82987530644004,327.93008138400563,81.47563847427371,92.5612503566544,No
Control,Low Value,203.93457573373274,245.75469742030214,49.08788230837428,64.1256670100873,Yes
Treatment,High Value,240.1381373460719,376.4099446511353,40.974332111291474,34.95949367798411,No
Control,Medium Value,174.9501536477589,206.48380808350555,70.52375772226105,83.17481777383401,No
Treatment,Low Value,223.10977283251847,349.1185062874287,46.70961392947484,34.234825173233375,Yes
Treatment,Medium Value,193.18495579477457,310.19929371686385,76.52557802557959,79.21906066959345,Yes
Control,Medium Value,237.85569656507028,279.7706518997201,71.98760622155537,60.493966638846025,No
Control,Low Value,204.3447983237008,248.73418637710364,43.05136036722543,38.868747945730824,No
Control,Medium Value,203.84622026439388,243.76688891966612,68.30290404624391,88.53828581605549,Yes
Control,Low Value,194.14143911317262,223.48383157077896,55.25968880174097,56.395275956971616,No
Control,Medium Value,230.72199044990543,278.4939762260257,90.22964869766011,88.94319434916335,Yes
Control,Low Value,172.6411685732325,206.60242866331072,57.27935910520695,70.71121373921534,No
Control,High Value,187.09480943878944,225.0310790806274,72.78076649431638,86.77075782988264,Yes
Control,Medium Value,229.78816273732187,276.1127970870479,87.51944040236874,76.75085454184862,No
Treatment,Low Value,254.80278710713048,404.06864958704153,49.881178737560596,54.745266342741935,Yes
Treatment,Medium Value,170.0908019564475,269.261416300117,68.23452809625607,76.60069052670516,No
Control,Medium Value,193.8522597570081,235.24420735400244,90.28535700477033,100.0,Yes
Treatment,Medium Value,204.41422843991094,329.58828330419203,63.890438798977506,70.36518793411983,No
Treatment,Low Value,209.09917591624983,332.3742014982016,51.4398539955517,71.697865483667,Yes
Treatment,High Value,242.43013506056474,379.38913334192415,68.74292966697837,75.71080432470482,No
Treatment,High Value,280.11381479273393,445.8580020169799,88.72815664873603,73.93880145467571,No
Control,High Value,329.8606829034405,393.67290836024006,70.24902619495936,88.77209225448352,Yes
Treatment,Low Value,159.49871945271897,246.70608640952983,49.39160962064821,62.39050515201683,No
Control,High Value,240.71947479273715,297.43026096172525,89.83777617560128,94.16914812395879,No
Treatment,Low Value,199.38343546074964,309.07614081599064,47.715886413001805,52.56590571869988,No
Treatment,Medium Value,202.81692687809218,319.25173212952336,85.42843092041514,87.33936835363953,No
Treatment,Medium Value,230.2657074675199,361.643303259007,70.1089318114273,51.86604826365694,Yes
Control,High Value,207.444423415254,249.65678666177809,78.37195386725595,78.97114632098909,No
Treatment,Low Value,186.96916518147452,304.25051303507985,42.608053129217794,42.43398196275959,Yes
Control,Medium Value,135.14825766485302,161.12125635738306,71.2389184292908,90.94614904602564,Yes
Treatment,Low Value,158.72659422180826,259.98678414227686,59.857212195507714,75.04613478926734,Yes
Control,Low Value,235.15124865650301,275.96398455865443,53.838076583072166,50.53983280652889,Yes
Treatment,Medium Value,249.43661177410203,388.33697460478373,90.57014771626612,79.66908695651526,No
Control,Low Value,189.47503594995814,225.76138411818837,69.93064953546359,76.0,Yes
Control,Medium Value,176.44978336915997,216.17399505044813,55.9214471759953,59.89879898078164,No
Treatment,Medium Value,247.44078190635486,374.76067934939596,54.46811690937271,60.45357656347739,Yes
Control,Medium Value,265.0995500037757,320.13428606883815,64.6119562700801,54.74270698857017,Yes
Treatment,Low Value,160.56077266486776,256.7264117735439,58.54494452647196,61.70508295660076,Yes
Treatment,Medium Value,131.48052787111217,202.06389410998705,75.9904460833271,73.03348242837724,Yes
Treatment,Low Value,202.1712460648036,310.52976330741427,61.05205377170066,56.76579781556733,No
Treatment,Medium Value,252.22494470853894,388.1278624078349,58.89033531271268,61.656599732840476,Yes
Treatment,Medium Value,227.6106187322048,358.56531660443255,50.97302497054243,57.58935169537693,No
Treatment,High Value,306.21071648603976,463.2741823076876,82.05345673284043,70.8310690343062,Yes
Treatment,High Value,306.11056932567897,465.5451552616405,96.56480026868013,97.29332152562894,Yes
Treatment,High Value,197.15452056767944,307.78111505975056,91.79068417616045,87.8715408327649,Yes
Treatment,Low Value,191.90830867592632,303.14856542862583,62.07250216986202,62.80340640029215,Yes
Treatment,Low Value,160.46925103593412,251.88053119682004,49.316845616020636,47.264413698747035,Yes
Treatment,Medium Value,150.76709159012182,239.5131756116872,78.53509915297364,100.0,No
